id,name,link,annotations
RV-1759-24,"PL. VIII, Fig. 1",https://hdl.handle.net/20.500.11840/718428,square or diamonded-shaped form repeated in the division of the surface 
RV-1926-217,"PL. IX, Fig. 1",https://hdl.handle.net/20.500.11840/724879,square or diamonded-shaped form repeated in the division of the surface 
RV-1926-226,"PL. IX, Fig. 2",https://hdl.handle.net/20.500.11840/724888,square or diamonded-shaped form repeated in the division of the surface 
RV-1759-31,"PL. X, Fig. 1",https://hdl.handle.net/20.500.11840/718435,square or diamonded-shaped form repeated in the division of the surface 
RV-1759-27,"PL. X, Fig. 2",https://hdl.handle.net/20.500.11840/718431,square or diamonded-shaped form repeated in the division of the surface 
RV-1759-24,"PL. XI, Fig. 1",https://hdl.handle.net/20.500.11840/718428,square or diamonded-shaped form repeated in the division of the surface 
RV-1759-28,"PL. VIII, Fig. 1",https://hdl.handle.net/20.500.11840/718432,the diagonals dividing the patterns in two pairs of almost identical mirror images
RV-1926-217,"PL. IX, Fig. 1",https://hdl.handle.net/20.500.11840/724879,the diagonals dividing the patterns in two pairs of almost identical mirror images
RV-1926-226,"PL. IX, Fig. 2",https://hdl.handle.net/20.500.11840/724888,the diagonals dividing the patterns in two pairs of almost identical mirror images
RV-1759-31,"PL. X, Fig. 1",https://hdl.handle.net/20.500.11840/718435,the diagonals dividing the patterns in two pairs of almost identical mirror images
RV-1759-27,"PL. X, Fig. 2",https://hdl.handle.net/20.500.11840/718431,the diagonals dividing the patterns in two pairs of almost identical mirror images
RV-1759-24,"PL. XI, Fig. 1",https://hdl.handle.net/20.500.11840/718428,the diagonals dividing the patterns in two pairs of almost identical mirror images
RV-1926-262,"PL. XXI, Fig. 1",https://hdl.handle.net/20.500.11840/724923,"the ""concentric"" arrangement of squares or lozenges leads to a rigid and fairly monotonous pattern "
RV-1759-38,"PL. XXI, Fig. 2",https://hdl.handle.net/20.500.11840/718442,"the ""concentric"" arrangement of squares or lozenges leads to a rigid and fairly monotonous pattern "
RV-1759-28,"PL. VIII, Fig. 1",https://hdl.handle.net/20.500.11840/718432,"clearly worked out, detailed design shon in four corners, the designs are mostly quite similar to the dominating figures in the centre"
RV-1759-31,"PL. X, Fig. 1",https://hdl.handle.net/20.500.11840/718435,"clearly worked out, detailed design shon in four corners, the designs are mostly quite similar to the dominating figures in the centre"
RV-1759-27,"PL. X, Fig. 2",https://hdl.handle.net/20.500.11840/718431,"clearly worked out, detailed design shon in four corners, the designs are mostly quite similar to the dominating figures in the centre"
RV-1759-24,"PL. XI, Fig. 1",https://hdl.handle.net/20.500.11840/718428,"clearly worked out, detailed design shon in four corners, the designs are mostly quite similar to the dominating figures in the centre"
RV-1926-217,"PL. IX, Fig. 1",https://hdl.handle.net/20.500.11840/724879,"occaionally only two opposite corners are marked by a clear and elaborate pattern been left undecorated the intricate and colourful pattern being interrupetd by regular patches of the white tapa background"
RV-1232-87,"PL. XXI, Fig. 3",https://hdl.handle.net/20.500.11840/690648,"occaionally only two opposite corners are marked by a clear and elaborate pattern been left undecorated
the intricate and colourful pattern being interrupetd by regular patches of the white tapa background"
RV-1926-222,"PL. XXI, Fig. 4",https://hdl.handle.net/20.500.11840/724884,"occaionally only two opposite corners are marked by a clear and elaborate pattern
been left undecorated
the intricate and colourful pattern being interrupetd by regular patches of the white tapa background"
RV-1232-92,"PL. XXII, Fig. 2",https://hdl.handle.net/20.500.11840/690653,"occaionally only two opposite corners are marked by a clear and elaborate pattern
been left undecorated
the intricate and colourful pattern being interrupetd by regular patches of the white tapa background"
RV-1926-194,"PL. XXIII, Fig. 1",https://hdl.handle.net/20.500.11840/724856,"occaionally only two opposite corners are marked by a clear and elaborate pattern
been left undecorated
the intricate and colourful pattern being interrupetd by regular patches of the white tapa background"
RV-1926-238,"PL. XXIII, Fig. 2",https://hdl.handle.net/20.500.11840/724900,"occaionally only two opposite corners are marked by a clear and elaborate pattern
been left undecorated
the intricate and colourful pattern being interrupetd by regular patches of the white tapa background"
RV-1232-91,"PL. XXII, Fig. 1",https://hdl.handle.net/20.500.11840/690652,"two opposite corners, but evidently deviant because cental figure is lacking"
