id,citation,link
"Smedja._Lindu,_Sulawesi._Indonesien_-_SMVK_-_000203","Kaudern, Walter. ""Smedja."" July 1918. Photograph, 000203. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/1319158.","https://commons.wikimedia.org/wiki/File:Smedja._Lindu,_Sulawesi._Indonesien_-_SMVK_-_000203.tif"
Dans_bland_infödingarna_i_Kollawi._Yttre_halvcirkel_i_s.k._moraego-dans._Samma_bild_publ._av_-_SMVK_-_010732,"Kaudern, Walter. ""Dans bland infödingarna i Kollawi. Yttre halvcirkel i s.k. moraego-dans."" 1918. Photograph, 010732. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/112319.",https://commons.wikimedia.org/wiki/File:Dans_bland_inf%C3%B6dingarna_i_Kollawi._Yttre_halvcirkel_i_s.k._moraego-dans._Samma_bild_publ._av_-_SMVK_-_010732.tif
"Moraego-dans_vid_pasanggrahan._Kulawi,_Sulawesi._Indonesien_-_SMVK_-_010731","Kaudern, Walter. ""Moraego-dans vid pasanggrahan."" August 1918. Photograph, 010731. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/1885827.","https://commons.wikimedia.org/wiki/File:Moraego-dans_vid_pasanggrahan._Kulawi,_Sulawesi._Indonesien_-_SMVK_-_010731.tif"
"Koelawi,_Paloe,_Mellan-Celebes,_Celebes._Moraego-dans._Kulawi,_Sulawesi._Indonesien_-_SMVK_-_010734c","Kaudern, Walter. ""Moraego-dans."" August 1918. Lantern slide, 010734c. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/2559446.","https://commons.wikimedia.org/wiki/File:Koelawi,_Paloe,_Mellan-Celebes,_Celebes._Moraego-dans._Kulawi,_Sulawesi._Indonesien_-_SMVK_-_010734c.tif"
"Moraego-dans._Kulawi,_Sulawesi._Indonesien_-_SMVK_-_010734d","Kaudern, Walter. ""Moraego-dans."" August 1918. Photograph, 010734d. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/2559447.","https://commons.wikimedia.org/wiki/File:Moraego-dans._Kulawi,_Sulawesi._Indonesien_-_SMVK_-_010734d.tif"
"Infödingsdans,_s.k._moraego_vid_pasanggahan._Kollawi._Kulawi,_Sulawesi._Indonesien_-_SMVK_-_010736b","Kaudern, Walter. ""Infödingsdans, s.k. moraego vid pasanggahan. Kollawi."" August 1918. Photograph, 010736b. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/112323.","https://commons.wikimedia.org/wiki/File:Inf%C3%B6dingsdans,_s.k._moraego_vid_pasanggahan._Kollawi._Kulawi,_Sulawesi._Indonesien_-_SMVK_-_010736b.tif"
"Begravning_i_Kantewoe._Lokal,_Central-Celebes_Sciopt.,_1703_Publ.,_Kaudern_I_Celebes_obyggder_-_SMVK_-_000318","Kaudern, Walter. ""Maradika-begravning."" September 1918. Photograph, 000318. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/113367.","https://commons.wikimedia.org/wiki/File:Begravning_i_Kantewoe._Lokal,_Central-Celebes_Sciopt.,_1703_Publ.,_Kaudern_I_Celebes_obyggder_-_SMVK_-_000318.tif"
"Skolbarn_med_sin_lärare_(en_minahassare)._Lindoe,_Paloe,_Mellan-Celebes,_Celebes._Sulawesi,_Lindu_-_SMVK_-_000185","Kaudern, Walter. ""Skolbarn med sin lärare (en minahassare)."" January 1919. Photograph, 000185. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/113638.","https://commons.wikimedia.org/wiki/File:Skolbarn_med_sin_l%C3%A4rare_(en_minahassare)._Lindoe,_Paloe,_Mellan-Celebes,_Celebes._Sulawesi,_Lindu_-_SMVK_-_000185.tif"
Veterinär_inspekterar_bufflarna._T.v_-_SMVK_-_010738b,"Kaudern, Walter. ""Veterinär inspekterar bufflarna."" May 1919. Photograph, 010738b. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/113476.",https://commons.wikimedia.org/wiki/File:Veterin%C3%A4r_inspekterar_bufflarna._T.v_-_SMVK_-_010738b.tif
Vattenledning_kallad_pantjoeran._Bäck-_och_flodvattnet_leddes_i_bamburör_och_användes_vid_badning_-_SMVK_-_000349,"Kaudern, Walter. ""Vattenledning kallad pantjoeran."" 1919. Photograph, 000349. Walter Kauderns expedition till Celebes (1917–1921), Världskulturmuseet (Museum of World Culture), Gothenburg. https://collections.smvk.se/carlotta-vkm/web/object/113626.",https://commons.wikimedia.org/wiki/File:Vattenledning_kallad_pantjoeran._B%C3%A4ck-_och_flodvattnet_leddes_i_bambur%C3%B6r_och_anv%C3%A4ndes_vid_badning_-_SMVK_-_000349.tif
